trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
336,FALSE,"{'a': 0.1, 'e': 0.05382844459462402}",25,17,3.234674391,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
337,FALSE,"{'a': 0.1, 'e': 0.05339781703786703}",25,16,14.18866653,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,FALSE,"{'a': 0.1, 'e': 0.052970634501564084}",25,11,-30.44043255,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
339,FALSE,"{'a': 0.1, 'e': 0.05254686942555157}",20,11,9.432787087,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
340,FALSE,"{'a': 0.1, 'e': 0.05212649447014716}",25,5,28.13432943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,FALSE,"{'a': 0.1, 'e': 0.051709482514385986}",25,18,11.4124525,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,FALSE,"{'a': 0.1, 'e': 0.051295806654270894}",30,10,33.9817396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,FALSE,"{'a': 0.1, 'e': 0.050885440201036726}",30,12,31.68110501,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,FALSE,"{'a': 0.1, 'e': 0.05047835667942844}",20,8,-18.58870861,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
345,FALSE,"{'a': 0.1, 'e': 0.05007452982599301}",20,3,31.17275191,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,FALSE,"{'a': 0.1, 'e': 0.04967393358738506}",20,6,14.72899508,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
347,FALSE,"{'a': 0.1, 'e': 0.049276542118685984}",20,0,29.26909347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
348,FALSE,"{'a': 0.1, 'e': 0.04888232978173649}",20,0,26.46616401,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
349,FALSE,"{'a': 0.1, 'e': 0.0484912711434826}",25,14,18.84796239,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,FALSE,"{'a': 0.1, 'e': 0.048103340974334746}",35,14,-7.860621319,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
351,FALSE,"{'a': 0.1, 'e': 0.04771851424654006}",30,18,20.96264907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,FALSE,"{'a': 0.1, 'e': 0.04733676613256774}",20,9,17.30299601,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,FALSE,"{'a': 0.1, 'e': 0.0469580720035072}",25,10,26.77815843,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,FALSE,"{'a': 0.1, 'e': 0.04658240742747914}",20,0,30.67730403,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
355,FALSE,"{'a': 0.1, 'e': 0.04620974816805931}",25,0,25.1136594,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
